area,item,element,year,unit,value
Argentina,Cattle,Export Quantity,1961,Head,171106
Argentina,Cattle,Export Quantity,1962,Head,250274
Argentina,Cattle,Export Quantity,1963,Head,291819
Argentina,Cattle,Export Quantity,1964,Head,166050
Argentina,Cattle,Export Quantity,1965,Head,102993
Argentina,Cattle,Export Quantity,1966,Head,119116
Argentina,Cattle,Export Quantity,1967,Head,207846
Argentina,Cattle,Export Quantity,1968,Head,162857
Argentina,Cattle,Export Quantity,1969,Head,160351
Argentina,Cattle,Export Quantity,1970,Head,103745
Argentina,Cattle,Export Quantity,1978,Head,134534
Argentina,Cattle,Export Quantity,1994,Head,371356
Argentina,Cattle,Export Quantity,1995,Head,376390
Argentina,Cattle,Export Quantity,1996,Head,127912
Argentina,Cattle,Export Quantity,1997,Head,121274
Australia,Cattle,Export Quantity,1981,Head,101674
Australia,Cattle,Export Quantity,1982,Head,102211
Australia,Cattle,Export Quantity,1986,Head,168857
Australia,Cattle,Export Quantity,1987,Head,106970
Australia,Cattle,Export Quantity,1988,Head,119194
Australia,Cattle,Export Quantity,1989,Head,161700
Australia,Cattle,Export Quantity,1990,Head,102067
Australia,Cattle,Export Quantity,1991,Head,113542
Australia,Cattle,Export Quantity,1992,Head,136625
Australia,Cattle,Export Quantity,1993,Head,167005
Australia,Cattle,Export Quantity,1994,Head,256325
Australia,Cattle,Export Quantity,1995,Head,623141
Australia,Cattle,Export Quantity,1996,Head,1161930
Australia,Cattle,Export Quantity,1997,Head,1530584
Australia,Cattle,Export Quantity,1998,Head,1003630
Australia,Cattle,Export Quantity,1999,Head,1387184
Australia,Cattle,Export Quantity,2000,Head,895982
Australia,Cattle,Export Quantity,2001,Head,826274
Australia,Cattle,Export Quantity,2002,Head,972340
Australia,Cattle,Export Quantity,2003,Head,774226
Australia,Cattle,Export Quantity,2004,Head,637152
Australia,Cattle,Export Quantity,2005,Head,572799
Australia,Cattle,Export Quantity,2006,Head,637082
Australia,Cattle,Export Quantity,2007,Head,719527
Australia,Cattle,Export Quantity,2008,Head,868510
Australia,Cattle,Export Quantity,2009,Head,954143
Australia,Cattle,Export Quantity,2010,Head,873573
Australia,Cattle,Export Quantity,2011,Head,625435
Australia,Cattle,Export Quantity,2012,Head,617301
Australia,Cattle,Export Quantity,2013,Head,850923
Australia,Cattle,Export Value,1995,1000 US$,160133
Australia,Cattle,Export Value,1996,1000 US$,306484
Australia,Cattle,Export Value,1997,1000 US$,353008
Australia,Cattle,Export Value,1998,1000 US$,184339
Australia,Cattle,Export Value,1999,1000 US$,269096
Australia,Cattle,Export Value,2000,1000 US$,279900
Australia,Cattle,Export Value,2001,1000 US$,282011
Australia,Cattle,Export Value,2002,1000 US$,331865
Australia,Cattle,Export Value,2003,1000 US$,316918
Australia,Cattle,Export Value,2004,1000 US$,351391
Australia,Cattle,Export Value,2005,1000 US$,311255
Australia,Cattle,Export Value,2006,1000 US$,337367
Australia,Cattle,Export Value,2007,1000 US$,436137
Australia,Cattle,Export Value,2008,1000 US$,545637
Australia,Cattle,Export Value,2009,1000 US$,527377
Australia,Cattle,Export Value,2010,1000 US$,624151
Australia,Cattle,Export Value,2011,1000 US$,581985
Australia,Cattle,Export Value,2012,1000 US$,627381
Australia,Cattle,Export Value,2013,1000 US$,731188
Austria,Cattle,Export Quantity,1962,Head,100300
Austria,Cattle,Export Quantity,1963,Head,148700
Austria,Cattle,Export Quantity,1967,Head,148000
Austria,Cattle,Export Quantity,1968,Head,185900
Austria,Cattle,Export Quantity,1969,Head,157193
